owner,name,prs_merged,prs_closed,url,id,index
freeCodeCamp,freeCodeCamp,14196,11687,https://github.com/freeCodeCamp/freeCodeCamp,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0
996icu,996.ICU,1020,797,https://github.com/996icu/996.ICU,MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,1
EbookFoundation,free-programming-books,3431,1242,https://github.com/EbookFoundation/free-programming-books,MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,2
vuejs,vue,1017,762,https://github.com/vuejs/vue,MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,3
facebook,react,7432,3128,https://github.com/facebook/react,MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,4
jwasham,coding-interview-university,221,307,https://github.com/jwasham/coding-interview-university,MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,5
sindresorhus,awesome,531,1082,https://github.com/sindresorhus/awesome,MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,6
tensorflow,tensorflow,11728,5086,https://github.com/tensorflow/tensorflow,MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,7
kamranahmedse,developer-roadmap,62,119,https://github.com/kamranahmedse/developer-roadmap,MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,8
twbs,bootstrap,6746,5465,https://github.com/twbs/bootstrap,MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,9
getify,You-Dont-Know-JS,350,440,https://github.com/getify/You-Dont-Know-JS,MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,10
ohmyzsh,ohmyzsh,2410,3029,https://github.com/ohmyzsh/ohmyzsh,MDEwOlJlcG9zaXRvcnkyOTExMzc=,11
donnemartin,system-design-primer,187,60,https://github.com/donnemartin/system-design-primer,MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,12
CyC2018,CS-Notes,375,145,https://github.com/CyC2018/CS-Notes,MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,13
flutter,flutter,19356,7366,https://github.com/flutter/flutter,MDEwOlJlcG9zaXRvcnkzMTc5MjgyNA==,14
github,gitignore,1414,1909,https://github.com/github/gitignore,MDEwOlJlcG9zaXRvcnkxMDYyODk3,15
public-apis,public-apis,926,317,https://github.com/public-apis/public-apis,MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,16
microsoft,vscode,6560,2314,https://github.com/microsoft/vscode,MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,17
torvalds,linux,9,431,https://github.com/torvalds/linux,MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,18
airbnb,javascript,759,480,https://github.com/airbnb/javascript,MDEwOlJlcG9zaXRvcnk2NDk4NDky,19
trekhleb,javascript-algorithms,198,122,https://github.com/trekhleb/javascript-algorithms,MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,20
danistefanovic,build-your-own-x,83,42,https://github.com/danistefanovic/build-your-own-x,MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,21
TheAlgorithms,Python,1498,2079,https://github.com/TheAlgorithms/Python,MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,22
Snailclimb,JavaGuide,405,177,https://github.com/Snailclimb/JavaGuide,MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,23
d3,d3,436,665,https://github.com/d3/d3,MDEwOlJlcG9zaXRvcnk5NDMxNDk=,24
vinta,awesome-python,523,857,https://github.com/vinta/awesome-python,MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,25
facebook,react-native,617,8973,https://github.com/facebook/react-native,MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,26
ytdl-org,youtube-dl,1507,2076,https://github.com/ytdl-org/youtube-dl,MDEwOlJlcG9zaXRvcnkxMDM5NTIw,27
electron,electron,11551,1597,https://github.com/electron/electron,MDEwOlJlcG9zaXRvcnk5Mzg0MjY3,28
labuladong,fucking-algorithm,199,176,https://github.com/labuladong/fucking-algorithm,MDEwOlJlcG9zaXRvcnkyNDE1NzYyNzA=,29
facebook,create-react-app,1860,1495,https://github.com/facebook/create-react-app,MDEwOlJlcG9zaXRvcnk2MzUzNzI0OQ==,30
jlevy,the-art-of-command-line,303,121,https://github.com/jlevy/the-art-of-command-line,MDEwOlJlcG9zaXRvcnkzNTk1NTY2Ng==,31
golang,go,0,1326,https://github.com/golang/go,MDEwOlJlcG9zaXRvcnkyMzA5Njk1OQ==,32
axios,axios,380,340,https://github.com/axios/axios,MDEwOlJlcG9zaXRvcnkyMzA4ODc0MA==,33
ossu,computer-science,187,116,https://github.com/ossu/computer-science,MDEwOlJlcG9zaXRvcnkxOTQxNTA2NA==,34
justjavac,free-programming-books-zh_CN,269,132,https://github.com/justjavac/free-programming-books-zh_CN,MDEwOlJlcG9zaXRvcnkxNDA5ODA2OQ==,35
nodejs,node,3021,20881,https://github.com/nodejs/node,MDEwOlJlcG9zaXRvcnkyNzE5Mzc3OQ==,36
