nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2021-02-23T11:44:43Z,{'name': 'JavaScript'},{'totalCount': 320954},{'totalCount': 0},{'totalCount': 13922},{'totalCount': 14953},{'totalCount': 15181}
996icu/996.ICU,2019-03-26T07:31:14Z,2021-01-30T09:13:56Z,{'name': 'Rust'},{'totalCount': 255426},{'totalCount': 0},{'totalCount': 1020},{'totalCount': 0},{'totalCount': 0}
vuejs/vue,2013-07-29T03:24:51Z,2021-02-19T19:40:51Z,{'name': 'JavaScript'},{'totalCount': 179747},{'totalCount': 208},{'totalCount': 996},{'totalCount': 9003},{'totalCount': 9348}
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2021-02-19T17:27:03Z,,{'totalCount': 177563},{'totalCount': 0},{'totalCount': 3417},{'totalCount': 517},{'totalCount': 536}
facebook/react,2013-05-24T16:15:54Z,2021-02-23T00:17:13Z,{'name': 'JavaScript'},{'totalCount': 164100},{'totalCount': 94},{'totalCount': 7320},{'totalCount': 9504},{'totalCount': 10061}
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2021-02-21T07:30:44Z,,{'totalCount': 155607},{'totalCount': 0},{'totalCount': 218},{'totalCount': 170},{'totalCount': 199}
sindresorhus/awesome,2014-07-11T13:42:37Z,2021-02-21T18:07:38Z,,{'totalCount': 153601},{'totalCount': 0},{'totalCount': 522},{'totalCount': 252},{'totalCount': 269}
tensorflow/tensorflow,2015-11-07T01:19:20Z,2021-02-23T11:49:50Z,{'name': 'C++'},{'totalCount': 153459},{'totalCount': 129},{'totalCount': 11477},{'totalCount': 26546},{'totalCount': 30359}
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2021-02-19T01:20:52Z,,{'totalCount': 149697},{'totalCount': 4},{'totalCount': 62},{'totalCount': 458},{'totalCount': 503}
twbs/bootstrap,2011-07-29T21:19:00Z,2021-02-23T12:24:33Z,{'name': 'JavaScript'},{'totalCount': 148414},{'totalCount': 67},{'totalCount': 6647},{'totalCount': 19838},{'totalCount': 20081}
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2021-02-08T13:38:15Z,,{'totalCount': 133885},{'totalCount': 0},{'totalCount': 350},{'totalCount': 790},{'totalCount': 867}
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2021-02-22T19:22:22Z,{'name': 'Shell'},{'totalCount': 124094},{'totalCount': 0},{'totalCount': 2398},{'totalCount': 3505},{'totalCount': 3720}
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2021-02-23T03:06:21Z,{'name': 'Python'},{'totalCount': 121868},{'totalCount': 0},{'totalCount': 187},{'totalCount': 54},{'totalCount': 146}
