nameWithOwner,createdAt,pushedAt,primaryLanguage,stargazers,releases,mergedPRs,closedIssues,totalIssues,Repository Age,Accepted Pull Requests,Total Releases,Time Since Last Update,Language,Closed Issues Percent,Days Since Last Update
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2021-03-03T21:35:02Z,{'name': 'JavaScript'},{'totalCount': 321232},{'totalCount': 0},{'totalCount': 13982},{'totalCount': 14973},{'totalCount': 15212},1459,287,0,,,98.14814814814815,1.0
996icu/996.ICU,2019-03-26T07:31:14Z,2021-03-02T01:51:37Z,{'name': 'Rust'},{'totalCount': 255559},{'totalCount': 0},{'totalCount': 1020},{'totalCount': 0},{'totalCount': 0},1488,2626,54,,TypeScript,98.83148831488316,0.0
vuejs/vue,2013-07-29T03:24:51Z,2021-03-02T15:54:57Z,{'name': 'JavaScript'},{'totalCount': 180144},{'totalCount': 208},{'totalCount': 996},{'totalCount': 9010},{'totalCount': 9355},2797,6178,194,,Go,96.93450114242194,0.0
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2021-03-03T05:20:50Z,,{'totalCount': 178236},{'totalCount': 0},{'totalCount': 3419},{'totalCount': 520},{'totalCount': 539},4298,218,0,,,91.61836127212909,1064.0
facebook/react,2013-05-24T16:15:54Z,2021-03-03T09:00:27Z,{'name': 'JavaScript'},{'totalCount': 164514},{'totalCount': 94},{'totalCount': 7333},{'totalCount': 9529},{'totalCount': 10092},2314,541,60,,JavaScript,75.32368621477532,0.0
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2021-03-03T19:55:19Z,,{'totalCount': 155966},{'totalCount': 0},{'totalCount': 218},{'totalCount': 171},{'totalCount': 200},1459,287,0,,,98.14814814814815,1.0
sindresorhus/awesome,2014-07-11T13:42:37Z,2021-03-02T08:54:09Z,,{'totalCount': 154190},{'totalCount': 0},{'totalCount': 523},{'totalCount': 253},{'totalCount': 270},1488,2626,54,,TypeScript,98.83148831488316,0.0
tensorflow/tensorflow,2015-11-07T01:19:20Z,2021-03-03T22:04:17Z,{'name': 'C++'},{'totalCount': 153688},{'totalCount': 129},{'totalCount': 11536},{'totalCount': 26676},{'totalCount': 30485},2797,6178,194,,Go,96.93450114242194,0.0
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2021-02-25T09:04:28Z,,{'totalCount': 150417},{'totalCount': 4},{'totalCount': 62},{'totalCount': 459},{'totalCount': 504},4298,218,0,,,91.61836127212909,1064.0
twbs/bootstrap,2011-07-29T21:19:00Z,2021-03-03T22:01:37Z,{'name': 'JavaScript'},{'totalCount': 148570},{'totalCount': 67},{'totalCount': 6671},{'totalCount': 19870},{'totalCount': 20110},2314,541,60,,JavaScript,75.32368621477532,0.0
