Owner/Repository,Repository Age,Stars,Total Releases,CBO,DIT,WMC,LOC
CyC2018/CS-Notes,1128,123636,0,,,,0.0
Snailclimb/JavaGuide,1045,99759,0,,,,0.0
iluwatar/java-design-patterns,2412,64742,0,3.0,1.0,2.0,29548.0
MisterBooo/LeetCodeAnimation,832,63208,0,1.0,1.0,6.0,265.0
elastic/elasticsearch,4055,54109,42,,,,
spring-projects/spring-boot,3071,54007,87,,,,
doocs/advanced-java,893,52775,0,,,,
kdn251/interviews,1492,50566,0,,,,
macrozheng/mall,1078,47284,1,,,,
ReactiveX/RxJava,2990,44345,215,,,,
spring-projects/spring-framework,3752,41882,203,,,,
google/guava,2484,40610,31,,,,
square/okhttp,3159,39608,0,,,,
square/retrofit,3845,37718,27,,,,
TheAlgorithms/Java,1705,36027,0,,,,
apache/dubbo,3193,34842,28,,,,
PhilJay/MPAndroidChart,2518,32956,44,,,,
bumptech/glide,2809,30870,36,,,,
airbnb/lottie-android,1623,30823,29,,,,
kon9chunkit/GitHub-Chinese-Top-Charts,559,30689,0,,,,
Blankj/AndroidUtilCode,1691,29011,116,,,,
zxing/zxing,3444,27364,27,,,,
netty/netty,3781,26206,0,,,,
crossoverJie/JCSprout,1186,25903,0,,,,
NationalSecurityAgency/ghidra,747,25736,0,,,,
JakeWharton/butterknife,2934,25651,0,,,,
geekxh/hello-algorithm,292,25530,0,,,,
proxyee-down-org/proxyee-down,1239,25509,49,,,,
skylot/jadx,2921,25444,14,,,,
eugenp/tutorials,2879,25192,0,,,,
ctripcorp/apollo,1839,24077,30,,,,
alibaba/druid,3422,23496,41,,,,
greenrobot/EventBus,3166,23236,5,,,,
alibaba/fastjson,3422,23138,81,,,,
scwang90/SmartRefreshLayout,1384,22298,8,,,,
CymChad/BaseRecyclerViewAdapterHelper,1802,21624,191,,,,
Netflix/Hystrix,3040,21254,79,,,,
xkcoding/spring-boot-demo,1223,20950,0,,,,
zhangdaiscott/jeecg-boot,842,20853,13,,,,
lenve/vhr,1168,20608,0,,,,
zhangdaiscott/jeecg-boot,842,20853,13,,,,
lenve/vhr,1168,20608,0,,,,
SeleniumHQ/selenium,2984,20352,27,,,,
signalapp/Signal-Android,3380,20082,0,,,,
hollischuang/toBeTopJavaer,874,19904,0,,,,
qiurunze123/miaosha,915,19536,0,,,,
dbeaver/dbeaver,1974,19455,123,,,,
ReactiveX/RxAndroid,2402,19342,18,,,,
google/gson,2190,19302,0,,,,
alibaba/easyexcel,1135,19164,1,,,,
seata/seata,810,18923,30,,,,
wuyouzhuguli/SpringAll,1050,18828,0,,,,
halo-dev/halo,1092,18302,68,,,,
dromara/hutool,2530,18282,81,,,,
apache/kafka,3502,18277,0,,,,
libgdx/libgdx,3141,18158,7,,,,
alibaba/canal,2985,18131,20,,,,
alibaba/spring-cloud-alibaba,1202,17950,18,,,,
square/picasso,2864,17899,7,,,,
xuxueli/xxl-job,1936,17606,30,,,,
Baseflow/PhotoView,3165,17560,5,,,,
google/ExoPlayer,2469,17405,8,,,,
jenkinsci/jenkins,3768,17046,89,,,,
didi/DoraemonKit,946,16974,3,,,,
nostra13/Android-Universal-Image-Loader,3398,16800,0,,,,
alibaba/nacos,1006,16691,35,,,,
facebook/fresco,2207,16510,43,,,,
bazelbuild/bazel,2470,16368,97,,,,
apache/skywalking,1957,16367,43,,,,
redisson/redisson,2622,15944,91,,,,
CarGuo/GSYVideoPlayer,1585,15887,23,,,,
shuzheng/zheng,1625,15884,0,,,,
apache/flink,2475,15769,0,,,,
Tencent/tinker,1653,15692,38,,,,
alibaba/Sentinel,1078,15560,17,,,,
linlinjava/litemall,1091,15549,8,,,,
mybatis/mybatis-3,2953,15233,33,,,,
forezp/SpringCloudLearning,1439,15111,0,,,,
dianping/cat,3024,15094,0,,,,
elunez/eladmin,824,14802,6,,,,
oracle/graal,1889,14776,32,,,,
android10/Android-CleanArchitecture,2402,14751,0,,,,
brettwooldridge/HikariCP,2717,14727,0,,,,
winterbe/java8-tutorial,2558,14496,0,,,,
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,3035,14224,0,,,,
openzipkin/zipkin,3206,14127,62,,,,
JeffLi1993/springboot-learning-example,1500,14062,0,,,,
lottie-react-native/lottie-react-native,1510,13933,0,,,,
hdodenhof/CircleImageView,2616,13794,0,,,,
apache/rocketmq,1568,13765,1,,,,
