owner,name,prs_merged,prs_closed,url,id,index,cursor
freeCodeCamp,freeCodeCamp,14197,11687,https://github.com/freeCodeCamp/freeCodeCamp,MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,0,Y3Vyc29yOjE=
996icu,996.ICU,1020,797,https://github.com/996icu/996.ICU,MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,1,Y3Vyc29yOjI=
EbookFoundation,free-programming-books,3431,1242,https://github.com/EbookFoundation/free-programming-books,MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,2,Y3Vyc29yOjM=
vuejs,vue,1017,763,https://github.com/vuejs/vue,MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,3,Y3Vyc29yOjQ=
facebook,react,7432,3128,https://github.com/facebook/react,MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,4,Y3Vyc29yOjU=
jwasham,coding-interview-university,221,308,https://github.com/jwasham/coding-interview-university,MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,5,Y3Vyc29yOjY=
sindresorhus,awesome,531,1082,https://github.com/sindresorhus/awesome,MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,6,Y3Vyc29yOjc=
tensorflow,tensorflow,11730,5086,https://github.com/tensorflow/tensorflow,MDEwOlJlcG9zaXRvcnk0NTcxNzI1MA==,7,Y3Vyc29yOjg=
kamranahmedse,developer-roadmap,62,119,https://github.com/kamranahmedse/developer-roadmap,MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,8,Y3Vyc29yOjk=
twbs,bootstrap,6747,5465,https://github.com/twbs/bootstrap,MDEwOlJlcG9zaXRvcnkyMTI2MjQ0,9,Y3Vyc29yOjEw
getify,You-Dont-Know-JS,350,440,https://github.com/getify/You-Dont-Know-JS,MDEwOlJlcG9zaXRvcnkxNDQ0MDI3MA==,10,Y3Vyc29yOjEx
ohmyzsh,ohmyzsh,2410,3029,https://github.com/ohmyzsh/ohmyzsh,MDEwOlJlcG9zaXRvcnkyOTExMzc=,11,Y3Vyc29yOjEy
donnemartin,system-design-primer,187,61,https://github.com/donnemartin/system-design-primer,MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,12,Y3Vyc29yOjEz
CyC2018,CS-Notes,375,145,https://github.com/CyC2018/CS-Notes,MDEwOlJlcG9zaXRvcnkxMjEzOTU1MTA=,13,Y3Vyc29yOjE0
github,gitignore,1414,1909,https://github.com/github/gitignore,MDEwOlJlcG9zaXRvcnkxMDYyODk3,14,Y3Vyc29yOjE1
github,gitignore,1414,1909,https://github.com/github/gitignore,MDEwOlJlcG9zaXRvcnkxMDYyODk3,15,Y3Vyc29yOjE2
public-apis,public-apis,932,318,https://github.com/public-apis/public-apis,MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,16,Y3Vyc29yOjE3
microsoft,vscode,6561,2315,https://github.com/microsoft/vscode,MDEwOlJlcG9zaXRvcnk0MTg4MTkwMA==,17,Y3Vyc29yOjE4
torvalds,linux,9,431,https://github.com/torvalds/linux,MDEwOlJlcG9zaXRvcnkyMzI1Mjk4,18,Y3Vyc29yOjE5
airbnb,javascript,759,480,https://github.com/airbnb/javascript,MDEwOlJlcG9zaXRvcnk2NDk4NDky,19,Y3Vyc29yOjIw
trekhleb,javascript-algorithms,198,122,https://github.com/trekhleb/javascript-algorithms,MDEwOlJlcG9zaXRvcnkxMjY1NzcyNjA=,20,Y3Vyc29yOjIx
danistefanovic,build-your-own-x,83,42,https://github.com/danistefanovic/build-your-own-x,MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,21,Y3Vyc29yOjIy
TheAlgorithms,Python,1499,2079,https://github.com/TheAlgorithms/Python,MDEwOlJlcG9zaXRvcnk2MzQ3NjMzNw==,22,Y3Vyc29yOjIz
Snailclimb,JavaGuide,405,177,https://github.com/Snailclimb/JavaGuide,MDEwOlJlcG9zaXRvcnkxMzI0NjQzOTU=,23,Y3Vyc29yOjI1
d3,d3,436,666,https://github.com/d3/d3,MDEwOlJlcG9zaXRvcnk5NDMxNDk=,24,Y3Vyc29yOjI2
vinta,awesome-python,523,857,https://github.com/vinta/awesome-python,MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,25,Y3Vyc29yOjI3
facebook,react-native,617,8975,https://github.com/facebook/react-native,MDEwOlJlcG9zaXRvcnkyOTAyODc3NQ==,26,Y3Vyc29yOjI4
ytdl-org,youtube-dl,1507,2077,https://github.com/ytdl-org/youtube-dl,MDEwOlJlcG9zaXRvcnkxMDM5NTIw,27,Y3Vyc29yOjI5
